aux,DB,DP_DB,DP_DA,Rep,DA,Epsilon,Col,Error,EuD,Query
1,3201879.188900747,3500564.9176723678,93318696.82034302,23,3205300,0.1,#NodesRequested_sum,-90113396.82034302,2761815929.241703,sum
1,3201879.188900747,3459085.9978597797,64338440.91329956,24,3205300,0.1,#NodesRequested_sum,-61133140.91329956,1876252063.8854642,sum
1,3201879.188900747,3497454.5967245153,-42325568.773620605,25,3205300,0.1,#NodesRequested_sum,45530868.773620605,1400289705.3192234,sum
1,3201879.188900747,3655423.1738455007,-77191272.60568237,26,3205300,0.1,#NodesRequested_sum,80396572.60568237,2464681964.044055,sum
1,3201879.188900747,3529901.4971485646,37718138.990234375,27,3205300,0.1,#NodesRequested_sum,-34512838.990234375,1065431795.576907,sum
1,3201879.188900747,3426392.842334682,-19020531.027374268,28,3205300,0.1,#NodesRequested_sum,22225831.027374268,694394029.5616674,sum
1,3201879.188900747,3558902.837758527,21295021.79550171,29,3205300,0.1,#NodesRequested_sum,-18089721.79550171,573356676.6565381,sum
1,3201879.188900747,3542860.7032904,16106813.27166748,30,3205300,0.1,#NodesRequested_sum,-12901513.27166748,421971144.89855874,sum
1,3201879.188900747,3523397.1563987653,3601944.985595703,31,3205300,0.1,#NodesRequested_sum,-396644.9855957031,149384941.34013632,sum
1,3201879.188900747,3534642.045947874,5202398.06918335,32,3205300,0.1,#NodesRequested_sum,-1997098.0691833496,160980661.88543975,sum
1,3201879.188900747,3558800.242215396,2318683.4561462402,33,3205300,0.1,#NodesRequested_sum,886616.5438537598,151683165.20813885,sum
1,3201879.188900747,3564735.124669172,4815421.325500488,34,3205300,0.1,#NodesRequested_sum,-1610121.3255004883,157589746.65527412,sum
1,3201879.188900747,3575236.264929919,-41153739.959869385,35,3205300,0.1,#NodesRequested_sum,44359039.959869385,1366052661.7765536,sum
1,3201879.188900747,3600631.2937616776,37864706.76382446,36,3205300,0.1,#NodesRequested_sum,-34659406.76382446,1071635010.4872109,sum
